Anno: 2020,,,,,,,,,,,,,,
,,,Vecchiaia,Vecchiaia,Invalidita',Invalidita',Superstite,Superstite,Pensioni/assegni sociali,Pensioni/assegni sociali,Invalidi civili,Invalidi civili,TOTALE,TOTALE
,,,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile
Nord ovest,,,3081420,"1359,75",149818,"816,42",1066552,"727,29",120391,"477,84",663556,"444,46",5081737,"1070,58"
Nord est,,,2145636,"1242,48",123418,"770,07",728790,648,74117,"455,03",413998,"446,72",3485959,"990,22"
Centro,,,1757348,"1272,52",175438,"747,11",686416,"665,51",157328,"465,96",676054,"440,37",3452584,"925,44"
Sud,,,1454631,"1053,75",294402,"668,13",722637,"581,56",285454,"445,05",1006881,"423,01",3764005,"718,05"
Isole,Sicilia,Palermo,102851,"1202,08",16173,"655,05",57415,"651,11",33621,"445,52",89069,"423,39",299129,"749,85"
Isole,Sicilia,Agrigento,37244,"909,89",11634,"561,91",25349,"521,56",11826,"396,8",27431,"407,87",113484,"612,66"
Isole,Sicilia,Caltanissetta,21695,"1124,36",4033,"655,22",14982,"600,86",6503,"394,39",17277,"410,35",64490,"708,51"
Isole,Sicilia,Catania,88797,"1116,49",10059,"707,98",50007,"625,42",29064,"457,52",73301,"420,85",251228,"723,18"
Isole,Sicilia,Enna,15201,"910,11",2653,"600,56",9689,"526,43",4231,"401,11",10759,"419,92",42533,"628,77"
Isole,Sicilia,Messina,69645,"1063,82",18140,"669,99",36165,"589,5",13348,"447,43",55609,"426,68",192907,"711,55"
Isole,Sicilia,Ragusa,30997,"960,54",4395,"673,15",16550,"568,64",6929,"400,67",21434,"432,11",80305,"674,69"
Isole,Sicilia,Siracusa,36511,"1234,18",6086,"701,58",20524,"658,76",10210,"423,42",25833,"415,18",99164,"785,57"
Isole,Sicilia,Trapani,41218,"980,34",8134,613,24335,"573,26",12497,"408,53",26147,"413,37",112331,"669,96"
Isole,Sicilia,TOTALE,444159,"1090,2",81307,"650,09",255016,"604,6",128229,"432,1",346860,"420,57",1255571,"710,87"
Isole,Sardegna,,187699,"1136,32",37642,"660,63",91232,"612,16",31208,"426,09",126362,"430,06",474143,"762,73"
Isole,TOTALE,,631858,"1103,9",118949,"653,43",346248,"606,59",159437,"430,93",473222,"423,1",1729714,"725,09"
Estero,,,240413,"311,22",13115,"255,81",125509,"213,81",.,.,.,.,379037,"277,05"
TOTALE,,,9311306,"1224,03",875140,"715,55",3676152,"642,49",796727,"452,24",3233711,"434,09",17893036,"902,55"
