Anno: 2020,,,,,,,,,,,,,,
,,,Vecchiaia,Vecchiaia,Invalidita',Invalidita',Superstite,Superstite,Pensioni/assegni sociali,Pensioni/assegni sociali,Invalidi civili,Invalidi civili,TOTALE,TOTALE
,,,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile
Nord ovest,,,3081420,"1359,75",149818,"816,42",1066552,"727,29",120391,"477,84",663556,"444,46",5081737,"1070,58"
Nord est,,,2145636,"1242,48",123418,"770,07",728790,648,74117,"455,03",413998,"446,72",3485959,"990,22"
Centro,Toscana,,671817,"1214,88",43341,"741,24",242835,"656,94",34130,"461,17",160216,"446,6",1152339,"950,34"
Centro,Umbria,,150564,"1154,9",23061,"739,14",59766,"610,24",11933,"430,2",66391,"449,58",311715,"841,75"
Centro,Marche,,276185,"1093,69",33257,"675,67",103358,"569,27",14220,"430,69",86461,"443,79",513481,"833,26"
Centro,Lazio,Roma,459148,"1562,38",51154,"826,13",191649,"775,48",72204,"491,31",265670,"437,35",1039825,"1019,31"
Centro,Lazio,Frosinone,63812,"1147,96",5871,"674,53",29350,"595,25",7688,"430,64",28026,"422,01",134747,"815,02"
Centro,Lazio,Latina,68497,"1150,07",10034,"709,38",29874,"610,26",9740,"430,99",38318,"426,89",156463,"796,87"
Centro,Lazio,Rieti,23126,"1157,39",2750,"719,05",9850,"593,12",2537,"445,08",11109,"436,54",49372,"821,6"
Centro,Lazio,Viterbo,44199,"1085,64",5970,"688,99",19734,"598,74",4876,"450,96",19863,"439,05",94642,"790,69"
Centro,Lazio,TOTALE,658782,"1433,16",75779,"784,24",280457,"720,18",97045,"477,21",362986,"435,13",1475049,"955,77"
Centro,TOTALE,,1757348,"1272,52",175438,"747,11",686416,"665,51",157328,"465,96",676054,"440,37",3452584,"925,44"
Sud,,,1454631,"1053,75",294402,"668,13",722637,"581,56",285454,"445,05",1006881,"423,01",3764005,"718,05"
Isole,,,631858,"1103,9",118949,"653,43",346248,"606,59",159437,"430,93",473222,"423,1",1729714,"725,09"
Estero,,,240413,"311,22",13115,"255,81",125509,"213,81",.,.,.,.,379037,"277,05"
TOTALE,,,9311306,"1224,03",875140,"715,55",3676152,"642,49",796727,"452,24",3233711,"434,09",17893036,"902,55"
