Anno: 2020,,,,,,,,,,,,,,
,,,Vecchiaia,Vecchiaia,Invalidita',Invalidita',Superstite,Superstite,Pensioni/assegni sociali,Pensioni/assegni sociali,Invalidi civili,Invalidi civili,TOTALE,TOTALE
,,,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile
Nord ovest,Piemonte,Torino,443690,"1424,93",20280,"845,45",152634,"755,93",17505,"492,02",90447,"433,54",724556,"1121,49"
Nord ovest,Piemonte,Alessandria,88209,"1240,22",6316,"728,8",34998,"673,82",4020,"475,18",20275,"446,51",153818,"965,73"
Nord ovest,Piemonte,Asti,45839,"1194,36",2057,"740,32",16444,"624,61",1844,"480,26",9845,"452,55",76029,"945,47"
Nord ovest,Piemonte,Biella,46097,"1254,54",2193,"756,42",15244,"662,34",1387,"488,05",8494,"443,39",73415,"1008,36"
Nord ovest,Piemonte,Cuneo,122251,"1198,57",5231,"716,11",40675,"623,38",3738,"486,16",21499,"437,93",193394,"966,22"
Nord ovest,Piemonte,Novara,74112,"1321,02",3724,"791,2",26203,"706,78",2214,"475,65",13227,"450,37",119480,"1057,75"
Nord ovest,Piemonte,Verbano-Cusio-Ossola,32215,"1182,06",1675,"763,31",12369,"666,88",1151,"474,7",6777,"451,86",54187,"945,17"
Nord ovest,Piemonte,Vercelli,38416,"1234,77",2459,"795,52",14389,"662,09",1180,"469,03",8115,"448,58",64559,"977,58"
Nord ovest,Piemonte,TOTALE,890829,"1329,27",43935,"793,39",312956,"706,11",33039,"485,96",178679,"439,68",1459438,"1051,51"
Nord ovest,Valle d'Aosta/Vallee d'Aoste,,21742,"1286,27",2634,"779,51",8196,"682,83",789,"450,48",.,.,33361,"1078,24"
Nord ovest,Liguria,,286210,"1313,66",21307,"771,94",116532,"742,46",18313,"485,68",75669,"441,44",518031,"1006,21"
Nord ovest,Lombardia,Milano,592594,"1533,62",19555,"881,58",193580,"813,77",23870,"501,18",122449,"448,7",952048,"1208,44"
Nord ovest,Lombardia,Bergamo,203191,"1333,62",8830,"841,69",66372,"714,98",6197,"471,31",43111,"447,83",327701,"1062,23"
Nord ovest,Lombardia,Brescia,213943,"1272,87",9747,"816,29",74847,"671,55",9155,"458,33",46656,"444,97",354348,"1003,24"
Nord ovest,Lombardia,Como,117601,"1283,23",7359,"853,36",37766,"680,38",3914,"455,39",24456,"446,13",191096,"1023,45"
Nord ovest,Lombardia,Cremona,71798,"1291,58",3526,"863,51",25722,"692,51",2491,"454,24",17415,"446,78",120952,"1012,82"
Nord ovest,Lombardia,Lecco,74184,"1357,03",2930,"841,72",22142,"748,24",1635,"463,94",13486,"447,5",114377,"1105,97"
Nord ovest,Lombardia,Lodi,40438,"1404,19",1577,"835,49",14686,"748,16",1447,"476,97",9886,"443,44",68034,"1090,07"
Nord ovest,Lombardia,Mantova,81851,"1174,36",3361,"805,56",28106,"630,76",2722,"442,76",18643,"447,62",134683,"936,34"
Nord ovest,Lombardia,Monza e della Brianza,168852,"1439,5",7463,"856,33",53344,"759,3",5089,"455,93",34298,"446,57",269046,"1143,28"
Nord ovest,Lombardia,Pavia,105485,"1272,99",6874,"769,06",41406,"675,83",5008,"443,77",31911,"454,95",190684,"966,48"
Nord ovest,Lombardia,Sondrio,31843,"1115,68",2915,"758,12",12401,"606,36",1299,417,10282,"442,98",58740,"857,21"
Nord ovest,Lombardia,Varese,180859,"1325,04",7805,"848,78",58496,"727,46",5423,"459,22",36615,"439,95",289198,"1063,02"
Nord ovest,Lombardia,TOTALE,1882639,"1382,02",81942,"841,52",628868,"735,61",68250,"472,12",409208,"447,11",3070907,"1090,42"
Nord ovest,TOTALE,,3081420,"1359,75",149818,"816,42",1066552,"727,29",120391,"477,84",663556,"444,46",5081737,"1070,58"
Nord est,,,2145636,"1242,48",123418,"770,07",728790,648,74117,"455,03",413998,"446,72",3485959,"990,22"
Centro,,,1757348,"1272,52",175438,"747,11",686416,"665,51",157328,"465,96",676054,"440,37",3452584,"925,44"
Sud,,,1454631,"1053,75",294402,"668,13",722637,"581,56",285454,"445,05",1006881,"423,01",3764005,"718,05"
Isole,,,631858,"1103,9",118949,"653,43",346248,"606,59",159437,"430,93",473222,"423,1",1729714,"725,09"
Estero,,,240413,"311,22",13115,"255,81",125509,"213,81",.,.,.,.,379037,"277,05"
TOTALE,,,9311306,"1224,03",875140,"715,55",3676152,"642,49",796727,"452,24",3233711,"434,09",17893036,"902,55"
